SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077132316,215,Entrance L2100,5713.34,3,55473965,YES,2,43
25077132316,310,Entrance L2100,88296.48,3,55473965,YES,2,43
25077132317,230,Refarming L1800,69755.08,1,55473965,YES,1,41
25077132317,325,Refarming L1800,102537.53,1,55473965,YES,1,41
25077132317,60,Refarming L1800,144535.96,1,55473965,YES,1,41
25077132317,230,Entrance L2100,69755.08,3,55473965,YES,2,43
25077132317,325,Entrance L2100,102537.53,3,55473965,YES,2,43
25077132317,60,Entrance L2100,144535.96,3,55473965,YES,2,43
25077132319,350,Entrance L2100,137522.35,3,55473965,YES,2,43
25077132322,160,Entrance L2100,76449.18,3,55473966,YES,2,50
25077132322,315,Entrance L2100,51655.34,3,55473966,YES,2,50
25077132325,200,Entrance L2100,127351.77,3,55473930,YES,2,50
25077132325,315,Entrance L2100,94434.44,3,55473930,YES,2,50
25077132325,45,Entrance L2100,58422.18,3,55473930,YES,2,50
25077132326,150,Entrance L2100,67382.59,3,55473965,YES,2,43
