SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077135191,230,Entrance L2100,89654.97,3,55473965,YES,2,43
25077135192,310,Entrance L2100,11057.95,3,55473965,YES,2,43
25077135194,155,Entrance L2100,59114.72,3,55473965,YES,2,43
25077135194,265,Entrance L2100,109755.8,3,55473965,YES,2,43
25077135194,355,Entrance L2100,50457.31,3,55473965,YES,2,43
25077135196,245,Entrance L2100,34014.34,3,55473965,YES,2,43
25077135197,150,Entrance L2100,63100.89,3,55473965,YES,2,43
25077135199,170,Entrance L2100,96035.08,3,55473965,YES,2,43
25077135199,270,Entrance L2100,80747.74,3,55473965,YES,2,43
25077135200,100,Entrance L2100,31820.46,3,55473965,YES,2,43
25077135200,340,Entrance L2100,146552.37,3,55473965,YES,2,43
25077135201,10,Entrance L2100,116499.85,3,55473965,YES,2,43
25077135201,130,Entrance L2100,51633.97,3,55473965,YES,2,43
25077135201,280,Entrance L2100,66372.22,3,55473965,YES,2,43
25077135204,120,Entrance L2100,154258.44,3,55473965,YES,2,43
25077135204,20,Entrance L2100,91119.31,3,55473965,YES,2,43
25077135204,240,Entrance L2100,127387.22,3,55473965,YES,2,43
25077135206,50,Entrance L2100,61903.3,3,55473965,YES,2,43
25077135207,210,Entrance L2100,61628.63,3,55473965,YES,2,43
25077135207,60,Entrance L2100,48346.43,3,55473965,YES,2,43
25077135208,0,Entrance L2100,34415.29,3,55473965,YES,2,43
25077135208,145,Entrance L2100,102375.87,3,55473965,YES,2,43
25077135210,120,Entrance L2100,30704.24,3,55473965,YES,2,43
25077135210,270,Entrance L2100,90562.02,3,55473965,YES,2,43
25077135211,200,Entrance L2100,103802.73,3,55473965,YES,2,43
25077135211,90,Entrance L2100,88967.55,3,55473965,YES,2,43
25077135212,150,Entrance L2100,50636.91,3,55473965,YES,2,43
25077135212,60,Entrance L2100,101177.62,3,55473965,YES,2,43
25077135213,170,Entrance L2100,26674.47,3,55473965,YES,2,43
25077135213,260,Entrance L2100,56465.44,3,55473965,YES,2,43
25077135213,60,Entrance L2100,34592.23,3,55473965,YES,2,43
25077135216,170,Entrance L2100,111962.72,3,55473965,YES,2,43
25077135216,270,Entrance L2100,118677.07,3,55473965,YES,2,43
25077135216,50,Entrance L2100,101599.43,3,55473965,YES,2,43
25077135217,180,Entrance L2100,62529.5,3,55473965,YES,2,43
25077135217,90,Entrance L2100,40264.85,3,55473965,YES,2,43
25077135221,0,Entrance L2600,67436.08,2,55473966,NO,,52
25077135221,105,Entrance L2600,90184.71,2,55473966,NO,,48
25077135221,265,Entrance L2600,87216.81,2,55473966,NO,,52
25077135221,105,Entrance L2100,90184.71,3,55473966,YES,2,50
25077135222,100,Entrance L2600,56810.56,2,55473966,NO,,48
25077135222,200,Entrance L2600,138757.7,2,55473966,NO,,48
25077135222,300,Entrance L2600,74209.29,2,55473966,NO,,48
25077135222,100,Entrance L2100,56810.56,3,55473966,YES,2,50
25077135222,200,Entrance L2100,138757.7,3,55473966,YES,2,50
25077135222,300,Entrance L2100,74209.29,3,55473966,YES,2,50
25077135227,160,Entrance L2600,88866.64,2,55473965,NO,,42
25077135227,160,Entrance L2100,88866.64,3,55473965,YES,2,43
25077135229,0,Entrance L2600,54432.52,2,55473965,NO,,42
25077135229,0,Entrance L2100,54432.52,3,55473965,YES,2,43
25077135230,320,Entrance L2600,96187.41,2,55473965,NO,,52
25077135230,60,Entrance L2600,110159.63,2,55473965,NO,,42
25077135230,60,Entrance L2100,110159.63,3,55473965,YES,2,43
25077135231,20,Entrance L2600,63334.29,2,55473965,NO,,42
25077135231,20,Entrance L2100,63334.29,3,55473965,YES,2,43
25077135233,100,Entrance L2100,72523.1,3,55474110,YES,2,25
25077135233,250,Entrance L2100,24216.61,3,55474110,YES,2,25
25077135234,30,Entrance L2600,91069.65,2,55474110,NO,,24
25077135234,30,Entrance L2100,91069.65,3,55474110,YES,2,25
25077135235,140,Entrance L2100,106669.57,3,55473966,YES,2,50
25077135238,180,Entrance L2100,58164.9,3,55473965,YES,2,43
25077135238,90,Entrance L2100,140384.34,3,55473965,YES,2,43
25077135239,250,Entrance L2100,116287.48,3,55473965,YES,2,43
25077135239,350,Entrance L2100,70566.3,3,55473965,YES,2,43
25077135241,100,Entrance L2600,63792.38,2,55473965,NO,,42
25077135241,210,Entrance L2600,67800.83,2,55473965,NO,,42
25077135241,330,Entrance L2600,106228.14,2,55473965,NO,,52
25077135241,100,Entrance L2100,63792.38,3,55473965,YES,2,43
25077135241,210,Entrance L2100,67800.83,3,55473965,YES,2,43
25077135242,165,Entrance L2600,98488.16,2,55473965,NO,,42
25077135242,60,Entrance L2600,112284.57,2,55473965,NO,,52
25077135242,165,Entrance L2100,98488.16,3,55473965,YES,2,43
25077135243,130,Entrance L2100,109013.58,3,55473965,YES,2,43
25077135244,80,Entrance L2100,87196.95,3,55473965,YES,2,43
25077135245,130,Entrance L2100,77881.64,3,55473965,YES,2,43
25077135245,240,Entrance L2100,75693.87,3,55473965,YES,2,43
25077135248,50,Entrance L2100,70937.14,3,55473965,YES,2,43
25077135250,20,Entrance L2600,96159.75,2,55473965,NO,,42
25077135250,20,Entrance L2100,96159.75,3,55473965,YES,2,43
25077135251,0,Entrance L2600,70856.58,2,55473965,NO,,42
25077135251,110,Entrance L2600,87639.99,2,55473965,NO,,42
25077135251,250,Entrance L2600,121303.86,2,55473965,NO,,42
25077135251,0,Entrance L2100,70856.58,3,55473965,YES,2,43
25077135251,110,Entrance L2100,87639.99,3,55473965,YES,2,43
25077135251,250,Entrance L2100,121303.86,3,55473965,YES,2,43
25077135257,340,Entrance L2100,40021.45,3,55473965,YES,2,43
25077135258,120,Entrance L2100,50869.52,3,55473965,YES,2,43
25077135258,260,Entrance L2100,27072.39,3,55473965,YES,2,43
